time,TAI_SECONDS,LAST_ACC_CMD_BYTES1,LAST_ACC_CMD_BYTES2,LAST_ACC_CMD_BYTES3,LAST_ACC_CMD_BYTES4,LAST_ACC_CMD_BYTES5,LAST_ACC_CMD_BYTES6
2022-02-02T20:55:24Z,3485536624,31,1,3,240,0,4
2022-02-02T20:55:25Z,3485536629,31,1,3,240,0,4
2022-02-02T20:55:26Z,3485536634,31,1,3,240,0,4
2022-02-02T20:55:27Z,3485536639,31,1,3,240,0,4
2022-02-02T20:55:28Z,3485536641,31,1,3,240,0,4
2022-02-02T20:55:29Z,3485536648,31,1,3,240,0,4
2022-02-02T20:55:30Z,3485536651,31,1,3,240,0,4
2022-02-02T20:55:31Z,3485536659,31,1,3,240,0,4
2022-02-02T20:55:32Z,3485536664,31,1,3,240,0,4
2022-02-02T20:55:33Z,3485536669,31,1,3,240,0,4
2022-02-02T20:55:34Z,3485536674,31,1,3,240,0,4
2022-02-02T20:55:35Z,3485536678,31,1,3,240,0,4
2022-02-02T20:55:36Z,3485536684,31,1,3,240,0,4
2022-02-02T20:55:37Z,3485536688,31,1,3,240,0,4
2022-02-02T20:55:38Z,3485536694,31,1,3,240,0,4
2022-02-02T20:55:39Z,3485536699,31,1,3,240,0,4
2022-02-02T20:55:40Z,3485536702,31,1,3,240,0,4
2022-02-02T20:55:41Z,3485536709,31,1,3,240,0,4
2022-02-02T20:55:42Z,3485536714,31,1,3,240,0,4
2022-02-02T20:55:43Z,3485536719,31,1,3,240,0,4
2022-02-02T20:55:44Z,3485536724,31,1,3,240,0,4
2022-02-02T20:55:45Z,3485536729,31,1,3,240,0,4
2022-02-02T20:55:46Z,3485536734,31,1,3,240,0,4
2022-02-02T20:55:47Z,3485536739,31,1,3,240,0,4
2022-02-02T20:55:48Z,3485536743,31,1,3,240,0,4
2022-02-02T20:55:49Z,3485536749,31,1,3,240,0,4
2022-02-02T20:55:50Z,3485536754,31,1,3,240,0,4
2022-02-02T20:55:51Z,3485536759,31,1,3,240,0,4
2022-02-02T20:55:52Z,3485536764,31,1,3,240,0,4
2022-02-02T20:55:53Z,3485536769,31,1,3,240,0,4
2022-02-02T20:55:54Z,3485536774,31,1,3,240,0,4
2022-02-02T20:55:55Z,3485536779,31,1,3,240,0,4
2022-02-02T20:55:56Z,3485536783,31,1,3,240,0,4
2022-02-02T20:55:57Z,3485536789,31,1,3,240,0,4
2022-02-02T20:55:58Z,3485536794,31,1,3,240,0,4
2022-02-02T20:55:59Z,3485536799,31,1,3,240,0,4
2022-02-02T20:56:00Z,3485536804,31,1,3,240,0,4
2022-02-02T20:56:01Z,3485536809,31,1,3,240,0,4
2022-02-02T20:56:02Z,3485536814,31,1,3,240,0,4
2022-02-02T20:56:03Z,3485536819,31,1,3,240,0,4
2022-02-02T20:56:04Z,3485536824,31,1,3,240,0,4
2022-02-02T20:56:05Z,3485536829,31,1,3,240,0,4
2022-02-02T20:56:06Z,3485536834,31,1,3,240,0,4
2022-02-02T20:56:07Z,3485536839,31,1,3,240,0,4
2022-02-02T20:56:08Z,3485536843,31,1,3,240,0,4
2022-02-02T20:56:09Z,3485536849,31,1,3,240,0,4
2022-02-02T20:56:10Z,3485536854,31,1,3,240,0,4
2022-02-02T20:56:11Z,3485536859,31,1,3,240,0,4
2022-02-02T20:56:12Z,3485536864,31,1,3,240,0,4
2022-02-02T20:56:13Z,3485536869,31,1,3,240,0,4
2022-02-02T20:56:14Z,3485536872,31,1,3,240,0,4
2022-02-02T20:56:15Z,3485536879,31,1,3,240,0,4
2022-02-02T20:56:16Z,3485536884,31,1,3,240,0,4
2022-02-02T20:56:17Z,3485536889,31,1,3,240,0,4
2022-02-02T20:56:18Z,3485536892,31,1,3,240,0,4
2022-02-02T20:56:19Z,3485536896,31,1,3,240,0,4
2022-02-02T20:56:20Z,3485536904,31,1,3,240,0,4
2022-02-02T20:56:21Z,3485536909,31,1,3,240,0,4
2022-02-02T20:56:22Z,3485536914,31,1,3,240,0,4
2022-02-02T20:56:23Z,3485536918,31,1,3,240,0,4
2022-02-02T20:56:24Z,3485536924,31,1,3,240,0,4
2022-02-02T20:56:25Z,3485536929,31,1,3,240,0,4
2022-02-02T20:56:26Z,3485536934,31,1,3,240,0,4
2022-02-02T20:56:27Z,3485536939,31,1,3,240,0,4
2022-02-02T20:56:28Z,3485536944,31,1,3,240,0,4
2022-02-02T20:56:29Z,3485536948,31,1,3,240,0,4
2022-02-02T20:56:30Z,3485536952,31,1,3,240,0,4
2022-02-02T20:56:31Z,3485536959,31,1,3,240,0,4
2022-02-02T20:56:32Z,3485536964,31,1,3,240,0,4
2022-02-02T20:56:33Z,3485536967,31,1,3,240,0,4
2022-02-02T20:56:34Z,3485536973,31,1,3,240,0,4
2022-02-02T20:56:35Z,3485536979,31,1,3,240,0,4
2022-02-02T20:56:36Z,3485536984,31,1,3,240,0,4
2022-02-02T20:56:37Z,3485536989,31,1,3,240,0,4
2022-02-02T20:56:38Z,3485536994,31,1,3,240,0,4
2022-02-02T20:56:39Z,3485536998,31,1,3,240,0,4
2022-02-02T20:56:40Z,3485537003,31,1,3,240,0,4
2022-02-02T20:56:41Z,3485537008,31,1,3,240,0,4
2022-02-02T20:56:42Z,3485537014,31,1,3,240,0,4
2022-02-02T20:56:43Z,3485537016,31,1,3,240,0,4
2022-02-02T20:56:44Z,3485537024,31,1,3,240,0,4
2022-02-02T20:56:45Z,3485537029,31,1,3,240,0,4
2022-02-02T20:56:46Z,3485537034,31,1,3,240,0,4
2022-02-02T20:56:47Z,3485537039,31,1,3,240,0,4
2022-02-02T20:56:48Z,3485537043,31,1,3,240,0,4
2022-02-02T20:56:49Z,3485537049,31,1,3,240,0,4
2022-02-02T20:56:50Z,3485537054,31,1,3,240,0,4
2022-02-02T20:56:51Z,3485537059,31,1,3,240,0,4
2022-02-02T20:56:52Z,3485537064,31,1,3,240,0,4
2022-02-02T20:56:53Z,3485537067,31,1,3,240,0,4
2022-02-02T20:56:54Z,3485537074,31,1,3,240,0,4
2022-02-02T20:56:55Z,3485537078,31,1,3,240,0,4
2022-02-02T20:56:56Z,3485537083,31,1,3,240,0,4
2022-02-02T20:56:57Z,3485537089,31,1,3,240,0,4
2022-02-02T20:56:58Z,3485537093,31,1,3,240,0,4
2022-02-02T20:56:59Z,3485537099,31,1,3,240,0,4
2022-02-02T20:57:00Z,3485537104,31,1,3,240,0,4
2022-02-02T20:57:01Z,3485537109,31,1,3,240,0,4
2022-02-02T20:57:02Z,3485537114,31,1,3,240,0,4
2022-02-02T20:57:03Z,3485537119,31,1,3,240,0,4
2022-02-02T20:57:04Z,3485537124,31,1,3,240,0,4
2022-02-02T20:57:05Z,3485537129,31,1,3,240,0,4
2022-02-02T20:57:06Z,3485537134,31,1,3,240,0,4
2022-02-02T20:57:07Z,3485537139,31,1,3,240,0,4
2022-02-02T20:57:08Z,3485537143,31,1,3,240,0,4
2022-02-02T20:57:09Z,3485537149,31,1,3,240,0,4
2022-02-02T20:57:10Z,3485537153,31,1,3,240,0,4
2022-02-02T20:57:11Z,3485537159,31,1,3,240,0,4
2022-02-02T20:57:12Z,3485537164,31,1,3,240,0,4
2022-02-02T20:57:13Z,3485537169,31,1,3,240,0,4
2022-02-02T20:57:14Z,3485537174,31,1,3,240,0,4
2022-02-02T20:57:15Z,3485537178,31,1,3,240,0,4
2022-02-02T20:57:16Z,3485537184,31,1,3,240,0,4
2022-02-02T20:57:17Z,3485537189,31,1,3,240,0,4
2022-02-02T20:57:18Z,3485537194,31,1,3,240,0,4
2022-02-02T20:57:19Z,3485537199,31,1,3,240,0,4
2022-02-02T20:57:20Z,3485537204,31,1,3,240,0,4
2022-02-02T20:57:21Z,3485537208,31,1,3,240,0,4
2022-02-02T20:57:22Z,3485537214,31,1,3,240,0,4
2022-02-02T20:57:23Z,3485537218,31,1,3,240,0,4
2022-02-02T20:57:24Z,3485537224,31,1,3,240,0,4
2022-02-02T20:57:25Z,3485537229,31,1,3,240,0,4
2022-02-02T20:57:26Z,3485537234,31,1,3,240,0,4
2022-02-02T20:57:27Z,3485537239,31,1,3,240,0,4
2022-02-02T20:57:28Z,3485537244,31,1,3,240,0,4
2022-02-02T20:57:29Z,3485537249,31,1,3,240,0,4
2022-02-02T20:57:30Z,3485537254,31,1,3,240,0,4
